"DIE_Location" "Vth" "F10e4Hz" "F10e3Hz" "F10e2Hz" "Bias_conditions"
"1" "0_0" 0.422 -3.25176723756021 -2.00843481136578 1.03854931284183 "vd05vg05"
"2" "0_1" 0.414 -2.6945293497832 -0.901328158920091 1.23297784929039 "vd05vg05"
"3" "0_2" 0.39 -3.1783643442729 -1.09386609498916 0.994464455982989 "vd05vg05"
"4" "0_6" 0.398 -2.4946840750559 -1.22906994529113 1.6249240232707 "vd05vg05"
"5" "0_m1" 0.438 -3.02273139502643 -1.19022980705689 0.947402267857122 "vd05vg05"
"6" "0_m2" 0.394 -2.87046933276656 -1.1641042966495 1.11209347962613 "vd05vg05"
"7" "0_m3" 0.402 -2.99770449067532 -1.46343999439397 1.32018085723918 "vd05vg05"
"8" "0_m4" 0.402 -2.18477510825465 0.37374429889427 2.91775155025676 "vd05vg05"
"9" "0_m5" 0.434 -2.57382386605835 -1.04858568178448 1.75600025990468 "vd05vg05"
"10" "0_m6" 0.44 -2.50337377213258 -0.511533963570756 1.71632738121227 "vd05vg05"
"11" "0_m7" 0.398 -2.31233035853784 -0.89529070850211 2.0040631124855 "vd05vg05"
"12" "1_0" 0.414 -2.79268207470142 -1.23265419288896 1.24407380473802 "vd05vg05"
"13" "1_1" 0.418 -2.49775061623476 -1.06380977099758 1.35132562651672 "vd05vg05"
"14" "1_2" 0.414 -2.55800616580303 -1.1291324768936 2.03466096734551 "vd05vg05"
"15" "1_3" 0.372 -3.04698985481826 -0.839503970539671 2.16089621680153 "vd05vg05"
"16" "1_4" 0.394 -2.74837442510344 0.086599234931537 2.60091280363307 "vd05vg05"
"17" "1_5" 0.394 -2.12518318307463 -0.522166722654745 2.01856177389315 "vd05vg05"
"18" "1_m1" 0.434 -2.77770245379971 -1.29679382929223 0.952392836007125 "vd05vg05"
"19" "1_m2" 0.382 -3.03970562852532 -1.64758243841629 1.41282823044956 "vd05vg05"
"20" "1_m3" 0.41 -3.16837933659314 -1.22624050121921 1.3050691560742 "vd05vg05"
"21" "1_m5" 0.446 -2.935308710687 -1.31125270243831 1.47984965643282 "vd05vg05"
"22" "1_m6" 0.45 -2.90934565949768 -1.10546976391322 1.56206727055151 "vd05vg05"
"23" "2_0" 0.392 -2.86221465140662 -1.11301016402041 0.937116468103106 "vd05vg05"
"24" "2_1" 0.422 -2.77471299364291 -1.86914138753584 0.913210429373219 "vd05vg05"
"25" "2_2" 0.398 -3.03989161675965 -1.06688123935771 1.36449746087909 "vd05vg05"
"26" "2_3" 0.398 -2.54239012836118 -0.871963673500137 1.75028869390284 "vd05vg05"
"27" "2_m1" 0.414 -2.626694823451 -1.61480870335873 0.92224579024111 "vd05vg05"
"28" "2_m2" 0.418 -2.78866094886318 -1.48368131634642 1.36155533941224 "vd05vg05"
"29" "2_m3" 0.398 -3.04142488981358 -1.31476079073497 1.23292325333457 "vd05vg05"
"30" "2_m4" 0.466 -0.13261575406214 3.0285097233934 5.04908818001012 "vd05vg05"
"31" "2_m5" 0.446 -2.60912779089078 -1.44618659980056 1.02870349978934 "vd05vg05"
"32" "3_0" 0.398 -2.66471155086654 -1.15454184625291 1.16994818118591 "vd05vg05"
"33" "3_1" 0.43 -2.81544394053815 -1.3281836932263 1.10981904291773 "vd05vg05"
"34" "3_2" 0.418 -2.81562385363279 -1.39378157490282 1.30833389067958 "vd05vg05"
"35" "3_3" 0.394 -3.31417518710193 -1.93553133963412 1.26825105567059 "vd05vg05"
"36" "3_m1" 0.498 -2.33436391638275 -0.632401825528241 1.65270143957157 "vd05vg05"
"37" "3_m2" 0.418 -2.67017547398849 -1.42417375092635 1.47034130991954 "vd05vg05"
